index,database,simil_result_combined
0,fl,0
1,fl,0
11,fl,0
13,fl,0
15,fl,0
16,fl,0
18,fl,0
19,fl,0
24,fl,0
32,fl,0
34,fl,0
37,fl,1
41,fl,1
43,fl,0
54,fl,0
56,fl,0
59,fl,0
60,fl,0
61,fl,0
63,fl,0
69,fl,0
70,fl,2
81,fl,0
85,fl,0
86,fl,0
87,fl,0
88,fl,0
89,fl,0
91,fl,1
94,fl,0
107,fl,0
111,fl,1
113,fl,0
117,fl,0
120,fl,1
123,fl,0
125,fl,0
127,fl,2
128,fl,2
129,fl,2
130,fl,1
137,fl,0
138,fl,0
144,fl,1
149,fl,0
154,fl,0
155,fl,0
156,fl,0
161,fl,0
163,fl,1
167,fl,0
168,fl,0
169,fl,0
171,fl,0
172,fl,0
174,fl,0
176,fl,0
178,fl,0
179,fl,0
181,fl,0
185,fl,2
189,fl,0
198,fl,0
200,fl,0
201,fl,0
203,fl,0
204,fl,0
207,fl,1
211,fl,0
212,fl,0
214,fl,0
216,fl,0
217,fl,0
218,fl,0
219,fl,0
220,fl,0
222,fl,0
223,fl,1
225,fl,0
227,fl,0
229,fl,0
231,fl,0
233,fl,0
242,fl,1
244,fl,0
248,fl,0
249,fl,0
251,fl,0
257,fl,0
258,fl,0
259,fl,0
260,fl,2
278,fl,0
279,fl,0
280,fl,1
281,fl,0
282,fl,0
290,fl,0
298,fl,0
303,fl,2
308,fl,0
310,fl,0
311,fl,0
313,fl,1
319,fl,0
320,fl,1
321,fl,0
322,fl,0
323,fl,1
324,fl,1
326,fl,0
327,fl,1
329,fl,1
331,fl,1
332,fl,1
333,fl,1
335,fl,0
337,fl,0
340,fl,0
344,fl,0
346,fl,0
347,fl,0
350,fl,0
351,fl,0
352,fl,0
353,fl,0
355,fl,1
356,fl,0
358,fl,0
359,fl,0
360,fl,1
361,fl,0
362,fl,0
363,fl,0
364,fl,0
365,fl,1
366,fl,1
367,fl,1
371,fl,2
375,fl,0
376,fl,1
377,fl,0
378,fl,0
381,fl,0
382,fl,1
383,fl,1
384,fl,1
386,fl,0
387,fl,0
388,fl,0
389,fl,1
390,fl,0
394,fl,1
395,fl,0
397,fl,0
402,fl,0
404,fl,1
406,fl,0
408,fl,0
409,fl,0
410,fl,0
413,fl,0
414,fl,0
416,fl,0
417,fl,0
425,fl,0
427,fl,0
428,fl,1
431,fl,0
432,fl,0
433,fl,0
434,fl,0
435,fl,0
436,fl,0
437,fl,0
443,fl,2
444,fl,0
445,fl,0
451,fl,0
452,fl,0
453,fl,0
454,fl,0
455,fl,0
457,fl,0
458,fl,0
460,fl,1
461,fl,0
463,fl,0
465,fl,2
466,fl,0
467,fl,0
469,fl,0
471,fl,2
474,fl,0
475,fl,0
476,fl,0
477,fl,0
480,fl,0
481,fl,0
482,fl,0
484,fl,0
485,fl,0
486,fl,0
488,fl,0
489,fl,0
490,fl,1
491,fl,2
492,fl,0
493,fl,0
494,fl,0
496,fl,2
498,fl,0
499,fl,0
500,fl,0
501,fl,0
502,fl,0
504,fl,0
505,fl,0
508,fl,2
512,fl,0
516,fl,0
519,fl,0
520,fl,0
522,fl,0
527,fl,0
529,fl,0
530,fl,0
534,fl,1
542,fl,0
543,fl,0
544,fl,0
545,fl,0
549,fl,0
550,fl,0
556,fl,0
557,fl,0
558,fl,0
559,fl,0
560,fl,0
561,fl,0
562,fl,0
563,fl,0
564,fl,0
565,fl,0
566,fl,0
568,fl,0
569,fl,2
570,fl,0
571,fl,0
572,fl,0
574,fl,0
575,fl,0
576,fl,0
577,fl,0
578,fl,0
580,fl,0
581,fl,0
583,fl,2
585,fl,0
586,fl,0
587,fl,2
588,fl,0
591,fl,2
592,fl,1
593,fl,1
594,fl,0
596,fl,1
600,fl,2
602,fl,0
604,fl,0
606,fl,0
607,fl,0
608,fl,0
615,fl,0
617,fl,0
622,fl,0
623,fl,0
624,fl,0
627,fl,0
632,fl,0
656,fl,1
657,fl,0
658,fl,0
659,fl,0
660,fl,0
662,fl,0
663,fl,0
664,fl,1
666,fl,0
667,fl,1
668,fl,0
669,fl,0
672,fl,0
673,fl,2
675,fl,0
676,fl,0
679,fl,0
680,fl,0
681,fl,0
684,fl,0
685,fl,2
688,fl,0
689,fl,1
691,fl,0
692,fl,0
693,fl,1
694,fl,0
697,fl,0
698,fl,0
699,fl,0
704,fl,0
705,fl,0
707,fl,1
708,fl,0
711,fl,0
717,fl,0
719,fl,0
723,fl,2
726,fl,1
727,fl,0
731,fl,0
732,fl,0
734,fl,1
735,fl,0
737,fl,1
738,fl,0
744,fl,0
745,fl,0
746,fl,0
748,fl,0
749,fl,1
754,fl,0
756,fl,1
761,fl,0
768,fl,0
770,fl,0
771,fl,0
772,fl,0
774,fl,0
777,fl,0
778,fl,0
780,fl,0
781,fl,0
782,fl,0
783,fl,0
784,fl,0
785,fl,1
790,fl,0
792,fl,0
793,fl,0
794,fl,2
795,fl,2
798,fl,0
799,fl,0
810,fl,0
811,fl,0
812,fl,0
813,fl,1
817,fl,0
818,fl,0
820,fl,0
821,fl,0
834,fl,0
836,fl,0
839,fl,1
841,fl,0
842,fl,0
843,fl,0
853,fl,0
854,fl,0
861,fl,0
863,fl,0
864,fl,0
868,fl,0
881,fl,0
882,fl,0
886,fl,0
887,fl,0
889,fl,2
890,fl,2
898,fl,0
899,fl,0
902,fl,0
904,fl,0
906,fl,0
907,fl,2
0,polyph,0
3,polyph,0
4,polyph,0
11,polyph,0
12,polyph,0
14,polyph,0
15,polyph,0
17,polyph,0
19,polyph,0
26,polyph,0
28,polyph,0
37,polyph,0
46,polyph,2
52,polyph,0
53,polyph,1
78,polyph,0
79,polyph,0
87,polyph,0
88,polyph,0
91,polyph,0
98,polyph,0
104,polyph,0
105,polyph,0
112,polyph,0
113,polyph,0
116,polyph,0
117,polyph,0
118,polyph,0
119,polyph,2
120,polyph,1
122,polyph,0
123,polyph,0
124,polyph,0
127,polyph,0
131,polyph,1
135,polyph,0
136,polyph,0
141,polyph,0
145,polyph,0
150,polyph,1
160,polyph,0
164,polyph,0
166,polyph,0
168,polyph,1
169,polyph,0
179,polyph,0
181,polyph,1
187,polyph,1
188,polyph,1
196,polyph,1
202,polyph,0
208,polyph,0
209,polyph,0
221,polyph,1
223,polyph,0
224,polyph,0
236,polyph,1
240,polyph,0
246,polyph,0
249,polyph,1
254,polyph,1
258,polyph,0
259,polyph,0
260,polyph,2
276,polyph,0
281,polyph,0
293,polyph,0
294,polyph,0
300,polyph,0
305,polyph,0
307,polyph,1
309,polyph,0
318,polyph,0
321,polyph,1
322,polyph,0
350,polyph,1
355,polyph,1
363,polyph,1
365,polyph,1
7,nat,0
10,nat,0
15,nat,0
16,nat,1
20,nat,2
24,nat,0
31,nat,0
38,nat,1
42,nat,0
51,nat,0
52,nat,0
53,nat,1
57,nat,1
71,nat,0
72,nat,0
77,nat,1
82,nat,1
84,nat,1
90,nat,1
91,nat,0
96,nat,0
100,nat,1
107,nat,0
108,nat,1
111,nat,1
112,nat,0
114,nat,0
117,nat,0
122,nat,0
134,nat,0
142,nat,0
145,nat,0
152,nat,0
153,nat,0
154,nat,0
155,nat,0
156,nat,0
157,nat,0
159,nat,0
160,nat,0
162,nat,0
164,nat,0
167,nat,0
168,nat,0
174,nat,0
177,nat,0
178,nat,0
179,nat,0
181,nat,0
182,nat,0
187,nat,0
189,nat,0
191,nat,0
192,nat,0
193,nat,0
194,nat,0
196,nat,0
199,nat,0
200,nat,0
201,nat,0
206,nat,0
209,nat,0
211,nat,0
212,nat,0
214,nat,0
215,nat,0
218,nat,0
221,nat,0
222,nat,0
228,nat,0
231,nat,0
232,nat,0
233,nat,0
238,nat,0
239,nat,0
240,nat,0
246,nat,0
249,nat,0
250,nat,0
253,nat,0
255,nat,1
257,nat,0
260,nat,0
261,nat,0
263,nat,0
264,nat,0
265,nat,1
268,nat,0
270,nat,1
271,nat,2
273,nat,0
274,nat,0
275,nat,0
276,nat,0
277,nat,0
279,nat,0
280,nat,0
282,nat,0
283,nat,1
288,nat,0
289,nat,0
291,nat,0
293,nat,0
302,nat,0
312,nat,0
314,nat,0
315,nat,1
316,nat,0
320,nat,1
324,nat,0
327,nat,0
328,nat,0
331,nat,0
336,nat,0
337,nat,0
348,nat,0
349,nat,0
354,nat,0
355,nat,0
368,nat,0
380,nat,1
389,nat,0
398,nat,0
405,nat,2
408,nat,0
412,nat,1
415,nat,0
417,nat,0
418,nat,0
419,nat,0
423,nat,1
432,nat,0
435,nat,0
441,nat,0
446,nat,1
447,nat,0
448,nat,0
450,nat,0
451,nat,0
452,nat,1
455,nat,0
460,nat,0
465,nat,0
466,nat,0
467,nat,0
470,nat,0
476,nat,1
477,nat,0
481,nat,1
486,nat,0
496,nat,0
501,nat,0
502,nat,0
504,nat,0
505,nat,0
507,nat,0
508,nat,0
510,nat,0
512,nat,0
513,nat,0
514,nat,0
515,nat,0
520,nat,0
521,nat,0
528,nat,0
530,nat,0
533,nat,0
534,nat,0
541,nat,0
543,nat,1
550,nat,1
568,nat,0
570,nat,0
572,nat,0
575,nat,0
582,nat,0
583,nat,0
585,nat,1
586,nat,0
587,nat,0
590,nat,0
592,nat,0
602,nat,0
603,nat,0
608,nat,0
618,nat,1
619,nat,0
622,nat,0
624,nat,0
625,nat,0
626,nat,1
628,nat,0
629,nat,0
637,nat,1
646,nat,0
669,nat,0
670,nat,0
679,nat,0
682,nat,0
683,nat,0
686,nat,0
687,nat,2
690,nat,0
693,nat,0
694,nat,0
703,nat,0
706,nat,0
707,nat,0
709,nat,0
712,nat,0
714,nat,0
716,nat,0
722,nat,1
723,nat,0
725,nat,0
727,nat,0
731,nat,0
734,nat,0
736,nat,0
739,nat,0
741,nat,0
753,nat,0
754,nat,0
758,nat,1
761,nat,0
762,nat,0
763,nat,1
767,nat,1
768,nat,0
770,nat,0
771,nat,0
775,nat,0
781,nat,2
785,nat,1
786,nat,0
790,nat,1
791,nat,1
792,nat,0
798,nat,0
800,nat,1
801,nat,0
803,nat,0
807,nat,0
808,nat,0
811,nat,0
818,nat,0
821,nat,0
822,nat,0
823,nat,0
824,nat,0
825,nat,0
835,nat,0
837,nat,0
838,nat,0
840,nat,0
841,nat,1
842,nat,0
843,nat,0
846,nat,0
848,nat,0
852,nat,0
853,nat,0
855,nat,0
858,nat,0
859,nat,0
860,nat,0
864,nat,0
867,nat,1
868,nat,0
871,nat,0
872,nat,0
876,nat,0
877,nat,0
878,nat,0
880,nat,0
881,nat,0
882,nat,2
884,nat,0
885,nat,1
893,nat,1
894,nat,0
895,nat,0
898,nat,0
903,nat,1
906,nat,0
907,nat,0
909,nat,0
912,nat,0
913,nat,0
914,nat,0
915,nat,0
916,nat,0
919,nat,0
930,nat,0
932,nat,0
937,nat,0
941,nat,0
943,nat,0
953,nat,0
961,nat,0
967,nat,0
970,nat,1
971,nat,0
980,nat,0
983,nat,0
988,nat,0
989,nat,0
997,nat,0
998,nat,0
999,nat,1
1000,nat,1
1003,nat,0
1006,nat,1
1008,nat,1
1011,nat,0
1012,nat,0
1018,nat,0
1019,nat,1
1027,nat,1
1028,nat,0
1030,nat,0
1031,nat,0
1041,nat,1
1045,nat,0
1050,nat,0
1054,nat,0
1055,nat,0
1056,nat,0
1057,nat,0
1061,nat,0
1064,nat,0
1065,nat,0
1069,nat,0
1072,nat,0
1073,nat,1
1075,nat,1
1077,nat,0
1081,nat,0
1082,nat,0
1083,nat,0
1087,nat,0
1088,nat,0
1089,nat,0
1090,nat,0
1093,nat,0
1096,nat,0
1099,nat,1
1100,nat,0
1102,nat,1
1106,nat,1
1110,nat,1
1114,nat,0
1116,nat,0
1118,nat,0
1122,nat,1
1124,nat,0
1125,nat,0
1134,nat,0
1135,nat,1
1137,nat,0
1141,nat,0
1151,nat,0
1158,nat,1
1175,nat,0
1177,nat,1
1181,nat,0
1182,nat,1
1185,nat,1
1186,nat,0
1187,nat,1
1190,nat,0
1192,nat,0
1199,nat,0
1205,nat,0
1209,nat,0
1210,nat,1
1211,nat,0
1215,nat,0
1218,nat,0
1219,nat,0
1222,nat,1
1223,nat,0
1236,nat,0
1249,nat,0
1257,nat,1
1260,nat,0
1261,nat,0
1262,nat,0
1265,nat,0
1277,nat,0
1281,nat,0
1288,nat,0
1289,nat,0
1292,nat,1
1294,nat,0
1295,nat,0
1297,nat,0
1304,nat,0
1305,nat,0
1310,nat,0
1314,nat,1
1315,nat,1
1316,nat,0
1317,nat,0
1326,nat,0
1338,nat,1
1339,nat,0
1340,nat,1
1345,nat,0
1346,nat,0
1347,nat,0
1351,nat,0
1356,nat,0
1359,nat,0
1360,nat,0
1362,nat,1
1367,nat,0
1377,nat,0
1379,nat,0
1380,nat,0
1382,nat,0
1383,nat,0
1385,nat,0
1395,nat,0
1398,nat,0
1404,nat,0
1411,nat,1
1413,nat,0
1419,nat,0
1422,nat,0
1424,nat,0
1425,nat,0
1426,nat,0
1427,nat,0
1432,nat,0
1435,nat,0
13,ph,1
16,ph,1
19,ph,0
25,ph,2
27,ph,0
29,ph,1
32,ph,1
43,ph,0
47,ph,0
54,ph,1
55,ph,0
56,ph,0
57,ph,1
64,ph,1
65,ph,0
66,ph,0
67,ph,0
70,ph,1
73,ph,0
75,ph,0
77,ph,0
84,ph,1
91,ph,0
96,ph,1
97,ph,0
98,ph,2
102,ph,0
104,ph,0
113,ph,0
115,ph,1
123,ph,0
125,ph,0
132,ph,0
136,ph,0
138,ph,0
139,ph,0
151,ph,0
153,ph,0
155,ph,0
161,ph,0
164,ph,0
165,ph,1
167,ph,0
170,ph,0
173,ph,0
175,ph,0
176,ph,0
178,ph,0
179,ph,0
182,ph,1
183,ph,1
186,ph,2
190,ph,0
193,ph,0
195,ph,0
199,ph,0
200,ph,0
207,ph,0
208,ph,0
211,ph,0
218,ph,0
221,ph,1
222,ph,0
227,ph,1
228,ph,0
234,ph,0
235,ph,0
238,ph,1
241,ph,0
247,ph,1
250,ph,1
251,ph,1
252,ph,1
258,ph,0
262,ph,0
263,ph,0
264,ph,0
265,ph,1
268,ph,2
273,ph,0
275,ph,0
277,ph,0
279,ph,2
280,ph,0
281,ph,0
284,ph,0
288,ph,2
290,ph,0
296,ph,0
297,ph,0
298,ph,0
299,ph,0
304,ph,0
306,ph,0
310,ph,0
314,ph,0
317,ph,0
318,ph,1
324,ph,2
330,ph,0
333,ph,1
334,ph,1
338,ph,1
341,ph,0
344,ph,0
351,ph,1
352,ph,0
353,ph,0
355,ph,0
364,ph,0
369,ph,0
370,ph,1
371,ph,0
372,ph,0
374,ph,1
380,ph,1
386,ph,0
387,ph,0
389,ph,0
390,ph,0
391,ph,0
393,ph,0
395,ph,2
398,ph,0
400,ph,1
402,ph,1
405,ph,1
407,ph,0
413,ph,1
